time,scene_number,scene_name,character,quote,location,description
218,1,Moving to San Francisco,Joyce,yeah try another approach time Meg Riley laugh hard milk come nose ? mean come,HEADQUARTERS,long pause
219,1,Moving to San Francisco,Sandra,yeah hurt feel like fire,HEADQUARTERS,insert Riley spit milk nose Meg laughing
220,1,Moving to San Francisco,Joyce,okay okay think let try something else favorite thing ?,HEADQUARTERS,insert Riley spit milk nose Meg laughing
221,1,Moving to San Francisco,Sandra,favorite ? um well like outside,HEADQUARTERS,insert Riley spit milk nose Meg laughing
222,1,Moving to San Francisco,Joyce,good ! like beach sunshine oh ! like time bury Dad sand neck ?,HEADQUARTERS,insert Riley spit milk nose Meg laughing
223,1,Moving to San Francisco,Sandra,think like rain,HEADQUARTERS,insert Riley beach Dad bury sand
224,1,Moving to San Francisco,Joyce,rain ? rain favorite ! stomp around puddle,HEADQUARTERS,insert Riley stand downpour
225,1,Moving to San Francisco,Joyce,cool umbrella lightning storm,HEADQUARTERS,insert Riley happily jump puddle
226,1,Moving to San Francisco,Sandra,like rain run back make shoe soggy get cold shivery,HEADQUARTERS,insert Riley happily jump puddle
227,1,Moving to San Francisco,Sandra,everything start feeling droopy,HEADQUARTERS,insert Riley shoe fill water look miserable
228,1,Moving to San Francisco,Joyce,oh hey hey easy cry ? really opposite go,HEADQUARTERS,Sandra melt floor cry
229,1,Moving to San Francisco,Sandra,cry help slow obsess weight life problem,HEADQUARTERS,Sandra melt floor cry
230,1,Moving to San Francisco,Joyce,Ugh know ? let think something else read mind manual huh ? sound fun !,HEADQUARTERS,Sandra melt floor cry
231,1,Moving to San Francisco,Sandra,read,HEADQUARTERS,drag Sandra shelf technical manual
232,1,Moving to San Francisco,Joyce,well read one ? seem interesting Long-Term memory retrieval volume 47 ?,HEADQUARTERS,drag Sandra shelf technical manual
233,1,Moving to San Francisco,Sandra,,HEADQUARTERS,drag Sandra shelf technical manual
234,1,Moving to San Francisco,Joyce,ohhh ! real page turner !,HEADQUARTERS,drag Sandra shelf technical manual
235,1,Moving to San Francisco,Sandra,open manual read Long-Term memory datum selection via channel sub-grouping ?,HEADQUARTERS,drag Sandra shelf technical manual
236,1,Moving to San Francisco,Joyce,see ? fun already ! lucky dog read cool thing get ta go work Life unfair,HEADQUARTERS,drag Sandra shelf technical manual
237,1,Moving to San Francisco,DAD,phone ? get capital last month maybe two find investor go lay people,SAN FRANCISCO HOUSE,Riley hop stair towards living room
238,1,Moving to San Francisco,RILEY,mom ! Dad ! come kiss g night !,SAN FRANCISCO HOUSE,Riley hear stress Dad voice
239,1,Moving to San Francisco,MOM,right !,SAN FRANCISCO HOUSE,Riley hear stress Dad voice
240,1,Moving to San Francisco,DAD,phone know know ! get land okay ?,SAN FRANCISCO HOUSE,Riley hear stress Dad voice
241,1,Moving to San Francisco,Felipe,hear Dad ? sound really upset,HEADQUARTERS,Riley climb sleeping bag
242,1,Moving to San Francisco,Felipe,? bear ? bear !,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
243,1,Moving to San Francisco,Diane,bear San Francisco !,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
244,1,Moving to San Francisco,Angelo,see really hairy guy look like bear,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
245,1,Moving to San Francisco,Felipe,oh jumpy nerve shoot !,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
246,1,Moving to San Francisco,Diane,ew want hear nerve !,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
247,1,Moving to San Francisco,Angelo,tell move bust,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
248,1,Moving to San Francisco,Felipe,tell guy ! least 37 thing Riley scare right !,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
249,1,Moving to San Francisco,Diane,smell alone enough make gag,HEADQUARTERS,strange noise outside headlight cast shadow wall Riley look scared
